route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
87,SMTTAJU,706,706 – Santa Lúcia / Centro,,3,,,
88,SMTTAJU,707,707 – Castelo Branco / Centro,,3,,,
89,SMTTAJU,708,708 – Terminal Rodoviário / Bairro América,,3,,,
90,SMTTAJU,709,709 – D.I.A. / Centro,,3,,,
91,SMTTAJU,710,710 – D.E.R. / Veneza,,3,,,
92,SMTTAJU,711,711 – D.I.A. / Nova Saneamento,,3,,,
93,SMTTAJU,712,712 – Povoado Cardoso / Mercado,,3,,,
94,SMTTAJU,713,713 – São Cristóvão / Palestina / Osvaldo Aranha,,3,,,
95,SMTTAJU,714,714 – Povoado Quissamã / Osvaldo Aranha,,3,,,
96,SMTTAJU,715,715 – Tijuquinha / Desembargador Maynard,,3,,,
97,SMTTAJU,716,716 – Socorro / BR / Osvaldo Aranha,,3,,,
98,SMTTAJU,717,717 – Mosqueiro / Centro,,3,,,
99,SMTTAJU,718,718 – Guajará / Palestina / Osvaldo Aranha,,3,,,
100,SMTTAJU,719,719 – Sobrado / Osvaldo Aranha,,3,,,
101,SMTTAJU,722,722 – Estiva / Mercado,,3,,,
102,SMTTAJU,801,801 – Luiz Alves / Campus,,3,,,
103,SMTTAJU,901,901 - Socorro / Terminal Marcos Freire,,3,,,
104,SMTTAJU,1001,1001 – Corujão 01,,3,,,
105,SMTTAJU,1001A,1001A – Corujão 01A,,3,,,
106,SMTTAJU,1001B,1001B – Corujão 01B,,3,,,
107,SMTTAJU,1001C,1001C – Corujão 01C,,3,,,
108,SMTTAJU,1002,1002 – Corujão 02,,3,,,
109,SMTTAJU,1002A,1002A – Corujão 02A,,3,,,
110,SMTTAJU,1002B,1002B – Corujão 02B,,3,,,
111,SMTTAJU,1002C,1002C – Corujão 02C,,3,,,
112,SMTTAJU,1003,1003 – Corujão 03,,3,,,
113,SMTTAJU,1003A,1003A – Corujão 03A,,3,,,
114,SMTTAJU,1003B,1003B – Corujão 03B,,3,,,
115,SMTTAJU,1003C,1003C – Corujão 03C,,3,,,
