"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","platform_code"
"1387","TER-ALV","Terminal Alvorada",,"-10.91321","-37.089393",,,"0",,,
1387	-10.91321	-37.089393
1409	-10.923184	-37.081227
1414	-10.922522	-37.081448
1418	-10.924946	-37.080672
1420	-10.925277	-37.08032
1436	-10.927979	-37.080656
1551	-10.936963	-37.08254
1567	-10.954359	-37.054192
1568	-10.909991	-37.09056
1577	-10.918599	-37.056631
1589	-10.918518	-37.056794
1604	-10.918558	-37.054381
1622	-10.91842	-37.051174
1753	-10.918709	-37.068231
1771	-10.918424	-37.072672
1791	-10.918533	-37.078565
1854	-10.939426	-37.076983
1857	-10.938935	-37.076987
1915	-10.919553	-37.06984
1916	-10.919498	-37.069599
2003	-10.924336	-37.047659
2005	-10.924484	-37.04733
2007	-10.924484	-37.04733
2008	-10.924298	-37.049542
2078	-10.916126	-37.068374
2182	-10.941387	-37.057366
2185	-10.92864	-37.056341
2256	-10.904549	-37.067236
2269	-10.91761	-37.057439
2278	-10.92099	-37.057456
2281	-10.926407	-37.058312
2282	-10.928346	-37.060043
2286	-10.936094	-37.062961
2336	-10.928492	-37.066845
2344	-10.931294	-37.05933
2345	-10.932828	-37.056838
2346	-10.933393	-37.0552
2348	-10.934253	-37.053235
2349	-10.934659	-37.052606
2451	-10.91143	-37.068228
2460	-10.910915	-37.071724
2513	-10.907011	-37.048298
2516	-10.915745	-37.047725
2964	-10.937706	-37.050582
2979	-10.932655	-37.048415
2984	-10.9316	-37.047887
3061	-10.94966	-37.065616
3063	-10.950271	-37.066042
3067	-10.942439	-37.062577
3068	-10.942291	-37.065695
3172	-10.92574	-37.05187
3173	-10.927532	-37.054191
3218	-10.917411	-37.064312
3220	-10.90871	-37.06308
3723	-10.986342	-37.062565
4092	-10.959855	-37.054888
4096	-10.968192	-37.053571
4100	-10.970894	-37.054809
4109	-10.975789	-37.053806
4120	-10.982597	-37.06024
4121	-10.982796	-37.060202
4130	-10.975332	-37.075562
4132	-10.973726	-37.078369
4133	-10.968956	-37.081219
4135	-10.966378	-37.079558
4172	-10.937856	-37.055013
4173	-10.93919	-37.057087
4175	-10.943636	-37.053433
4194	-10.903002	-37.090284
4500	-10.980878	-37.05102
4698	-10.983641	-37.053501
4763	-10.926086	-37.077268
4812	-10.893344	-37.085349
4836	-10.903603	-37.060022
4839	-10.89993	-37.059986
4851	-10.892752	-37.072996
4854	-10.890424	-37.075881
5002	-10.903143	-37.053217
5005	-10.902967	-37.058391
5006	-10.903158	-37.058365
5271	-10.928075	-37.072025
5359	-10.920591	-37.088829
5400	-10.933365	-37.055164
1353	-10.910011	-37.090838
1374	-10.912958	-37.089842
1428	-10.927657	-37.0808
1538	-10.93126	-37.081924
1547	-10.936976	-37.082853
1552	-10.934456	-37.082898
1553	-10.934686	-37.083202
1558	-10.940258	-37.079819
1560	-10.944145	-37.07584
1562	-10.945022	-37.075498
1564	-10.951688	-37.062303
1565	-10.952124	-37.060042
1566	-10.95432	-37.054672
1610	-10.918464	-37.054517
1616	-10.918504	-37.052363
1627	-10.91847	-37.048491
1634	-10.918349	-37.048888
1684	-10.918579	-37.058892
1691	-10.918643	-37.059159
1701	-10.918668	-37.061444
1722	-10.918681	-37.065871
1744	-10.918766	-37.065717
1762	-10.918844	-37.068892
1773	-10.918425	-37.072424
1796	-10.918645	-37.081307
1799	-10.918769	-37.081198
1803	-10.918638	-37.077783
1869	-10.935591	-37.075495
1876	-10.935775	-37.075802
1879	-10.933143	-37.074809
1880	-10.930899	-37.073754
1890	-10.928021	-37.072883
1917	-10.922624	-37.070995
1918	-10.924456	-37.071634
2009	-10.924033	-37.050683
2081	-10.916371	-37.068707
2108	-10.90271	-37.087649
2131	-10.922193	-37.070612
2199	-10.903508	-37.079452
2241	-10.90338	-37.073712
2257	-10.904489	-37.066015
2271	-10.917016	-37.057479
2279	-10.921744	-37.057226
2280	-10.925755	-37.057571
2283	-10.929251	-37.060281
2284	-10.932509	-37.061733
2285	-10.932295	-37.061423
2287	-10.936683	-37.062822
2289	-10.941662	-37.066546
2290	-10.945921	-37.071478
2291	-10.945837	-37.071038
2292	-10.942645	-37.067439
2293	-10.940771	-37.065253
2333	-10.927824	-37.06971
2335	-10.928724	-37.066674
2415	-10.90932	-37.080863
2418	-10.90906	-37.081159
2423	-10.909704	-37.076433
2431	-10.909958	-37.076057
2469	-10.911524	-37.065155
2518	-10.916307	-37.047422
2535	-10.919657	-37.046426
2538	-10.923563	-37.044805
2540	-10.923847	-37.04412
2717	-10.89461	-37.08693
2723	-10.89714	-37.08836
2938	-10.951275	-37.051997
2959	-10.94145	-37.05137
2976	-10.935539	-37.050212
